category,fy_amount,multiyear_amount,fiscal_year
Neighborhood Improvements,99870000.0,150000000.0,2023
2007 G.O. Bonds,3085000.0,3406000.0,2023
2017 G.O. Bonds,114285000.0,226857000.0,2023
2022 G.O. Bonds,159195000.0,1198304000.0,2023
Aviation Funding,83329000.0,296989000.0,2023
Certificates of Obligation,78990000.0,395028000.0,2023
Other*,143232000.0,432801000.0,2023
Self-Supporting Certificates of Obligation,10113000.0,35031000.0,2023
Tax Notes,37539000.0,261360000.0,2023
Grant Funding,10619000.0,13800000.0,2023
Total,651387000.0,2879671000.0,2023
Streets,245756000.0,1074646000.0,2024
Parks,88478000.0,441604000.0,2024
Air Transportation,252855000.0,2000235000.0,2024
Drainage,38589000.0,216406000.0,2024
Municipal Facilities,72941000.0,189997000.0,2024
Other Facilities,6327000.0,15577000.0,2024
Information Technology,27101000.0,128395000.0,2024
Law Enforcement,17612000.0,69416000.0,2024
Libraries,8360000.0,51947000.0,2024
Fire Protection,3746000.0,70238000.0,2024
Neighborhood Improvements,36070000.0,143780000.0,2024
Total,797835000.0,4402241000.0,2024
Streets,226454000.0,977000000.0,2025
Parks,96337000.0,370934000.0,2025
Air Transportation,291940000.0,2417665000.0,2025
Drainage,31709000.0,217297000.0,2025
Municipal Facilities,109228000.0,244282000.0,2025
Other Facilities,2877000.0,5009000.0,2025
Information Technology,26400000.0,148800000.0,2025
Law Enforcement,16066000.0,55167000.0,2025
Libraries,12490000.0,38260000.0,2025
Fire Protection,6896000.0,90503000.0,2025
Neighborhood Improvements,39846000.0,121288000.0,2025
Total,860243000.0,4686205000.0,2025
Streets,200016000.0,846407000.0,2026
Parks,75843000.0,298910000.0,2026
Air Transportation,648832000.0,2142852000.0,2026
Drainage,44970000.0,220609000.0,2026
Municipal Facilities,71149000.0,171058000.0,2026
Information Technology,32078000.0,166666000.0,2026
Law Enforcement,15122000.0,52015000.0,2026
Libraries,11518000.0,25346000.0,2026
Fire Protection,16752000.0,85163000.0,2026
Neighborhood Improvements,39243000.0,91089000.0,2026
Total,1155523000.0,4100115000.0,2026
