department,adopted_amount,fiscal_year
Arrestee Processing Center 5,51879.0,2026
Center City Development & Operations 1,-464576.0,2026
City Attorney 1,-264395.0,2026
City Auditor 3,443697.0,2026
City Clerk 5,34885.0,2026
City Manager 4,253487.0,2026
Code Enforcement Services 1,8772836.0,2026
Communications & Engagement 5,-42625.0,2026
Compliance Opportunity and Access 2,-500799.0,2026
311 Customer Service 5,-59318.0,2026
Economic Development 1,-2655402.0,2026
Finance 1,-728090.0,2026
Fire 4,8995.0,2026
Government Affairs 1,480127.0,2026
Health 4,-4394319.0,2026
Historic Preservation 3,-179051.0,2026
Human Resources 9,-399386.0,2026
Human Services 3,5132.0,2026
Innovation 1,-182855.0,2026
Integrated Community Safety Office 1,531851.0,2026
Library 5,-634234.0,2026
Mayor & Council 1,7134353.0,2026
Military & Veterans Affairs 7,-6883.0,2026
Municipal Court 1,4276117.0,2026
Municipal Elections 2,-3984.0,2026
Neighborhood & Housing Services 2,-702976.0,2026
Parks & Recreation 7,76931.0,2026
Planning 4,-134862.0,2026
Police 6,165873.0,2026
Parks Police 2,4823175.0,2026
Public Works 1,-3534803.0,2026
Transportation 2,100984.0,2026
Agencies 2,-3065173.0,2026
Non-Departmental/Non-Operating 2,-604092.0,2026
World Heritage 2,-15515.0,2026
Transfers 1,973461.0,2026
TOTAL APPROPRIATIONS $ 1,353695.0,2026
Reserve for Community Safety 3,80000.0,2026
Reserve for Fire CBA 7,230283.0,2026
ENDING BALANCE,-2361151.0,2026
Animal Care Services,33811139.0,2026
Code Enforcement Services,19157707.0,2026
Economic Development,998738576.0,2026
Fire,28480486.0,2026
Health,6675714.0,2026
Police,632032094.0,2026
Public Works,116233075.0,2026
Agencies,22051503.0,2026
City Attorney,12323982.0,2026
City Clerk,6604191.0,2026
City Manager,4335998.0,2026
Compliance Opportunity and Access,429360087.0,2026
311 Customer Service,287762937.0,2026
Finance,996256979.0,2026
Government Affairs,471407399.0,2026
Historic Preservation,915494567.0,2026
Pollution Control Property,92412629.0,2026
Homeless Services and Strategy 0 0 0,4639692.0,2026
Low Income Housing,180221890.0,2026
Human Resources,9695009.0,2026
Human Services,31175700.0,2026
Community Housing Development Organization,233134241.0,2026
Innovation,1550983.0,2026
Integrated Community Safety Office,3775638.0,2026
Library,604760.0,2026
Mayor & Council,117293912.0,2026
Military & Veterans Affairs,803530.0,2026
Municipal Court,14556230.0,2026
Neighborhood & Housing Services,24605596.0,2026
Planning,4419470.0,2026
Parks Police,20429272.0,2026
Transportation,1960805.0,2026
Non-Departmental/Non-Operating,21150.0,2026
World Heritage,3172213.0,2026
City Payment - Capital Reserve Fund,54159.0,2026
Transfers,6973461.0,2026
Transfer to ARPA Program,91944650.0,2026
Less Delinquencies,12527136.0,2026
Reserve for Metro Health SA Forward,4327578.0,2026
Reserve for Community Safety,3080000.0,2026
G.O. Debt Service Fund,302679041.0,2026
NET ENDING BALANCE,-2361151.0,2026
