section,line_item,amount,fund,fiscal_year
revenue,Property Tax,293694785.0,General Fund,2016
revenue,Delinquent Property Tax,4857474.0,General Fund,2016
revenue,Sales Tax,274646415.0,General Fund,2016
revenue,Other Tax,38396970.0,General Fund,2016
revenue,Licenses and Permits,7859992.0,General Fund,2016
revenue,CPS Energy,335933940.0,General Fund,2016
revenue,San Antonio Water System,13896079.0,General Fund,2016
revenue,Charges for Services,59397276.0,General Fund,2016
revenue,Fines & Forfeits,12302770.0,General Fund,2016
revenue,Miscellaneous,10325645.0,General Fund,2016
revenue,Subtotal Revenues,1059327048.0,General Fund,2016
revenue,Transfers from other funds,36971686.0,General Fund,2016
revenue,TOTAL REVENUES,1096298734.0,General Fund,2016
revenue,TOTAL AVAILABLE FUNDS,1160167028.0,General Fund,2016
appropriation,Administrative & Operational Excellence,68839496.0,General Fund,2016
appropriation,"Convention, Tourism & Culture",1024596.0,General Fund,2016
appropriation,Economic Development & Development Svcs,18413123.0,General Fund,2016
appropriation,Environmental 0,2651769.0,General Fund,2016
appropriation,Health & Human Services,88411516.0,General Fund,2016
appropriation,Neighborhood Services,46323037.0,General Fund,2016
appropriation,Parks & Recreation,47126399.0,General Fund,2016
appropriation,Public Safety,730151125.0,General Fund,2016
appropriation,Streets & Infrastructure,86633763.0,General Fund,2016
appropriation,Subtotal Appropriations,1086923055.0,General Fund,2016
appropriation,Transfers to other funds,11755234.0,General Fund,2016
appropriation,TOTAL APPROPRIATIONS,1098678289.0,General Fund,2016
appropriation,Financial Reserves (Incremental Amount),6439372.0,General Fund,2016
appropriation,Reserve for Two-Year Budget Plan,55049367.0,General Fund,2016
appropriation,GROSS ENDING FUND BALANCE* $ 0,69092584.0,General Fund,2016
balance,BEGINNING BALANCE,366067737.0,Total All Funds,2016
revenue,Property Tax,472823450.0,Total All Funds,2016
revenue,Delinquent Property Tax,7747121.0,Total All Funds,2016
revenue,Sales Tax,358927871.0,Total All Funds,2016
revenue,Other Tax,123488285.0,Total All Funds,2016
revenue,Licenses and Permits,7859992.0,Total All Funds,2016
revenue,CPS Energy,335933940.0,Total All Funds,2016
revenue,San Antonio Water System,13896079.0,Total All Funds,2016
revenue,Charges for Services,394724742.0,Total All Funds,2016
revenue,Fines & Forfeits,14561490.0,Total All Funds,2016
revenue,Miscellaneous,18497209.0,Total All Funds,2016
revenue,Grants,138729517.0,Total All Funds,2016
revenue,Subtotal Revenues,1903013794.0,Total All Funds,2016
revenue,Transfers from other funds,204903052.0,Total All Funds,2016
revenue,TOTAL REVENUES,2107916846.0,Total All Funds,2016
revenue,TOTAL AVAILABLE FUNDS,2473984583.0,Total All Funds,2016
appropriation,Administrative & Operational Excellence,69031899.0,Total All Funds,2016
appropriation,"Convention, Tourism & Culture",75155884.0,Total All Funds,2016
appropriation,Economic Development,121335143.0,Total All Funds,2016
appropriation,Environmental,105768949.0,Total All Funds,2016
appropriation,Health & Human Services,241906729.0,Total All Funds,2016
appropriation,Neighborhood Services,49711819.0,Total All Funds,2016
appropriation,Parks & Recreation,56099729.0,Total All Funds,2016
appropriation,Public Safety,750098483.0,Total All Funds,2016
appropriation,Streets & Infrastructure,127063684.0,Total All Funds,2016
appropriation,Debt Service,285486806.0,Total All Funds,2016
appropriation,Subtotal Appropriations,1881659125.0,Total All Funds,2016
appropriation,Transfers to other funds,260002710.0,Total All Funds,2016
appropriation,TOTAL APPROPRIATIONS,2141661835.0,Total All Funds,2016
appropriation,GROSS ENDING FUND BALANCE,332322748.0,Total All Funds,2016
balance,BEGINNING BALANCE,69732647.0,General Fund,2017
revenue,Property Tax,317504778.0,General Fund,2017
revenue,Delinquent Property Tax,4871801.0,General Fund,2017
revenue,Sales Tax,275848790.0,General Fund,2017
revenue,Other Tax,39877998.0,General Fund,2017
revenue,Licenses and Permits,8809947.0,General Fund,2017
revenue,CPS Energy,342747851.0,General Fund,2017
revenue,San Antonio Water System,14374768.0,General Fund,2017
revenue,Charges for Services,60625858.0,General Fund,2017
revenue,Fines & Forfeits,12402492.0,General Fund,2017
revenue,Miscellaneous,11538529.0,General Fund,2017
revenue,Subtotal Revenues,1096251154.0,General Fund,2017
revenue,Transfers from other funds,39039262.0,General Fund,2017
revenue,TOTAL REVENUES,1135290416.0,General Fund,2017
revenue,TOTAL AVAILABLE FUNDS,1205023063.0,General Fund,2017
appropriation,Administrative & Operational Excellence,73719157.0,General Fund,2017
appropriation,"Convention, Tourism & Culture",2143870.0,General Fund,2017
appropriation,Economic Development & Development Svc,20030890.0,General Fund,2017
appropriation,Environmental 0,2759009.0,General Fund,2017
appropriation,Health & Human Services,93751847.0,General Fund,2017
appropriation,Neighborhood Services,50753479.0,General Fund,2017
appropriation,Parks & Recreation,49613054.0,General Fund,2017
appropriation,Public Safety,751162650.0,General Fund,2017
appropriation,Streets & Infrastructure,89147373.0,General Fund,2017
appropriation,Subtotal Appropriations,1130322320.0,General Fund,2017
appropriation,Transfers to other funds,13020919.0,General Fund,2017
appropriation,TOTAL APPROPRIATIONS,1143343239.0,General Fund,2017
appropriation,Financial Reserves (Incremental Amount),3899169.0,General Fund,2017
appropriation,Reserve for Two-Year Budget Plan,57780655.0,General Fund,2017
appropriation,GROSS ENDING FUND BALANCE* $ 0,48615911.0,General Fund,2017
balance,BEGINNING BALANCE,361622844.0,Total All Funds,2017
revenue,Property Tax,511155499.0,Total All Funds,2017
revenue,Delinquent Property Tax,7087329.0,Total All Funds,2017
revenue,Sales Tax,360800776.0,Total All Funds,2017
revenue,Other Tax,127363094.0,Total All Funds,2017
revenue,Licenses and Permits,8809947.0,Total All Funds,2017
revenue,CPS Energy,342747851.0,Total All Funds,2017
revenue,San Antonio Water System,14374768.0,Total All Funds,2017
revenue,Charges for Services,412546255.0,Total All Funds,2017
revenue,Fines & Forfeits,14472615.0,Total All Funds,2017
revenue,Miscellaneous,23091273.0,Total All Funds,2017
revenue,Grants,144840593.0,Total All Funds,2017
revenue,Subtotal Revenues,1982989107.0,Total All Funds,2017
revenue,Transfers from other funds,202161525.0,Total All Funds,2017
revenue,TOTAL REVENUES,2185150632.0,Total All Funds,2017
revenue,TOTAL AVAILABLE FUNDS,2546773476.0,Total All Funds,2017
appropriation,Administrative & Operational Excellence,80910110.0,Total All Funds,2017
appropriation,"Convention, Tourism & Culture",106551884.0,Total All Funds,2017
appropriation,Economic Development,127475405.0,Total All Funds,2017
appropriation,Environmental,111986309.0,Total All Funds,2017
appropriation,Health & Human Services,252154848.0,Total All Funds,2017
appropriation,Neighborhood Services,54380138.0,Total All Funds,2017
appropriation,Parks & Recreation,58824315.0,Total All Funds,2017
appropriation,Public Safety,775326437.0,Total All Funds,2017
appropriation,Streets & Infrastructure,132889517.0,Total All Funds,2017
appropriation,Debt Service,266243843.0,Total All Funds,2017
appropriation,Subtotal Appropriations,1966742806.0,Total All Funds,2017
appropriation,Transfers to other funds,314827099.0,Total All Funds,2017
appropriation,TOTAL APPROPRIATIONS,2281569905.0,Total All Funds,2017
appropriation,GROSS ENDING FUND BALANCE,265203571.0,Total All Funds,2017
balance,BEGINNING BALANCE,82444502.0,General Fund,2018
revenue,Property Tax,342164372.0,General Fund,2018
revenue,Delinquent Property Tax,4871801.0,General Fund,2018
revenue,Sales Tax,285213407.0,General Fund,2018
revenue,Other Tax,39200024.0,General Fund,2018
revenue,Licenses and Permits,9055174.0,General Fund,2018
revenue,CPS Energy,352469884.0,General Fund,2018
revenue,San Antonio Water System,16387483.0,General Fund,2018
revenue,Charges for Services,63381125.0,General Fund,2018
revenue,Fines & Forfeits,11950000.0,General Fund,2018
revenue,Miscellaneous,13941288.0,General Fund,2018
revenue,Subtotal Revenues,1145550342.0,General Fund,2018
revenue,Transfers from other funds,36709843.0,General Fund,2018
revenue,TOTAL REVENUES,1182260185.0,General Fund,2018
revenue,TOTAL AVAILABLE FUNDS,1264704687.0,General Fund,2018
appropriation,Administrative & Operational Excellence,76423315.0,General Fund,2018
appropriation,"Convention, Tourism & Culture",2089283.0,General Fund,2018
appropriation,Economic Development & Development Svc,21335084.0,General Fund,2018
appropriation,Environmental 0,3876382.0,General Fund,2018
appropriation,Health & Human Services,95740085.0,General Fund,2018
appropriation,Neighborhood Services,55114509.0,General Fund,2018
appropriation,Parks & Recreation,50807825.0,General Fund,2018
appropriation,Public Safety,776808415.0,General Fund,2018
appropriation,Streets & Infrastructure,104016860.0,General Fund,2018
appropriation,Subtotal Appropriations,1182335376.0,General Fund,2018
appropriation,Transfers to other funds,13781026.0,General Fund,2018
appropriation,TOTAL APPROPRIATIONS,1196116402.0,General Fund,2018
appropriation,Reserve for Two-Year Budget Plan,4696977.0,General Fund,2018
appropriation,GROSS ENDING FUND BALANCE*,63891308.0,General Fund,2018
balance,BEGINNING BALANCE,281086368.0,Total All Funds,2018
revenue,Property Tax,550855364.0,Total All Funds,2018
revenue,Delinquent Property Tax,7110401.0,Total All Funds,2018
revenue,Sales Tax,372325766.0,Total All Funds,2018
revenue,Other Tax,130707264.0,Total All Funds,2018
revenue,Licenses and Permits,9055174.0,Total All Funds,2018
revenue,CPS Energy,352469884.0,Total All Funds,2018
revenue,San Antonio Water System,16387483.0,Total All Funds,2018
revenue,Charges for Services,443898888.0,Total All Funds,2018
revenue,Fines & Forfeits,13863979.0,Total All Funds,2018
revenue,Miscellaneous,25262826.0,Total All Funds,2018
revenue,Grants,144711927.0,Total All Funds,2018
revenue,Subtotal Revenues,2083165621.0,Total All Funds,2018
revenue,Transfers from other funds,178027191.0,Total All Funds,2018
revenue,TOTAL REVENUES,2261192812.0,Total All Funds,2018
revenue,TOTAL AVAILABLE FUNDS,2542279180.0,Total All Funds,2018
appropriation,Administrative & Operational Excellence,84004309.0,Total All Funds,2018
appropriation,"Convention, Tourism & Culture",110548145.0,Total All Funds,2018
appropriation,Economic Development,128966856.0,Total All Funds,2018
appropriation,Environmental,116758545.0,Total All Funds,2018
appropriation,Health & Human Services,259255763.0,Total All Funds,2018
appropriation,Neighborhood Services,58699737.0,Total All Funds,2018
appropriation,Parks & Recreation,60250383.0,Total All Funds,2018
appropriation,Public Safety,803160880.0,Total All Funds,2018
appropriation,Streets & Infrastructure,148308198.0,Total All Funds,2018
appropriation,Debt Service,284186979.0,Total All Funds,2018
appropriation,Subtotal Appropriations,2054139795.0,Total All Funds,2018
appropriation,Transfers to other funds,222463764.0,Total All Funds,2018
appropriation,TOTAL APPROPRIATIONS,2276603559.0,Total All Funds,2018
appropriation,GROSS ENDING FUND BALANCE,260978644.0,Total All Funds,2018
balance,BEGINNING BALANCE,100807147.0,General Fund,2019
revenue,Property Tax,361881034.0,General Fund,2019
revenue,Delinquent Property Tax,2832210.0,General Fund,2019
revenue,Sales Tax,295298361.0,General Fund,2019
revenue,Other Tax,37263953.0,General Fund,2019
revenue,Licenses and Permits,9287323.0,General Fund,2019
revenue,CPS Energy,363043981.0,General Fund,2019
revenue,San Antonio Water System,18267512.0,General Fund,2019
revenue,Charges for Services,67276064.0,General Fund,2019
revenue,Fines & Forfeits,11729139.0,General Fund,2019
revenue,Miscellaneous,19067934.0,General Fund,2019
revenue,Subtotal Revenues,1190978484.0,General Fund,2019
revenue,Transfers from other funds,38258037.0,General Fund,2019
revenue,TOTAL REVENUES,1229236521.0,General Fund,2019
revenue,TOTAL AVAILABLE FUNDS,1330043668.0,General Fund,2019
appropriation,Administrative & Operational Excellence,81495975.0,General Fund,2019
appropriation,"Convention, Tourism & Culture",2405875.0,General Fund,2019
appropriation,Economic Development & Development Svc,21645932.0,General Fund,2019
appropriation,Environmental 0,3783131.0,General Fund,2019
appropriation,Health & Human Services,98291686.0,General Fund,2019
appropriation,Neighborhood Services,66264782.0,General Fund,2019
appropriation,Parks & Recreation,52739179.0,General Fund,2019
appropriation,Public Safety,794381495.0,General Fund,2019
appropriation,Streets & Infrastructure,129931788.0,General Fund,2019
appropriation,Subtotal Appropriations,1247156712.0,General Fund,2019
appropriation,Transfers to other funds,13839518.0,General Fund,2019
appropriation,TOTAL APPROPRIATIONS,1260996230.0,General Fund,2019
appropriation,Financial Reserves (Incremental Amount),4697633.0,General Fund,2019
appropriation,Reserve for Two-Year Budget Plan,64349805.0,General Fund,2019
appropriation,GROSS ENDING FUND BALANCE* $ 0,70459993.0,General Fund,2019
balance,BEGINNING BALANCE,294294113.0,Total All Funds,2019
revenue,Property Tax,582597471.0,Total All Funds,2019
revenue,Delinquent Property Tax,4560370.0,Total All Funds,2019
revenue,Sales Tax,386248123.0,Total All Funds,2019
revenue,Other Tax,131089018.0,Total All Funds,2019
revenue,Licenses and Permits,9287323.0,Total All Funds,2019
revenue,CPS Energy,363043981.0,Total All Funds,2019
revenue,San Antonio Water System,18267512.0,Total All Funds,2019
revenue,Charges for Services,465340450.0,Total All Funds,2019
revenue,Fines & Forfeits,13647320.0,Total All Funds,2019
revenue,Miscellaneous,34215193.0,Total All Funds,2019
revenue,Grants,153339052.0,Total All Funds,2019
revenue,Subtotal Revenues,2176532841.0,Total All Funds,2019
revenue,Transfers from other funds,175138331.0,Total All Funds,2019
revenue,TOTAL REVENUES,2351671172.0,Total All Funds,2019
revenue,TOTAL AVAILABLE FUNDS,2645965285.0,Total All Funds,2019
appropriation,Administrative & Operational Excellence,84407350.0,Total All Funds,2019
appropriation,"Convention, Tourism & Culture",111808706.0,Total All Funds,2019
appropriation,Economic Development,127775381.0,Total All Funds,2019
appropriation,Environmental,122466392.0,Total All Funds,2019
appropriation,Health & Human Services,280964935.0,Total All Funds,2019
appropriation,Neighborhood Services,69859767.0,Total All Funds,2019
appropriation,Parks & Recreation,62309191.0,Total All Funds,2019
appropriation,Public Safety,818700884.0,Total All Funds,2019
appropriation,Streets & Infrastructure,175852592.0,Total All Funds,2019
appropriation,Debt Service,296064713.0,Total All Funds,2019
appropriation,Subtotal Appropriations,2150209911.0,Total All Funds,2019
appropriation,Transfers to other funds,235818028.0,Total All Funds,2019
appropriation,TOTAL APPROPRIATIONS,2386027939.0,Total All Funds,2019
appropriation,GROSS ENDING FUND BALANCE,190889908.0,Total All Funds,2019
balance,BEGINNING BALANCE,101796053.0,General Fund,2020
revenue,Property Tax,381309591.0,General Fund,2020
revenue,Delinquent Property Tax,3832210.0,General Fund,2020
revenue,Sales Tax,313112000.0,General Fund,2020
revenue,Other Tax,30360452.0,General Fund,2020
revenue,Licenses and Permits,9244320.0,General Fund,2020
revenue,CPS Energy,353708823.0,General Fund,2020
revenue,San Antonio Water System,29204702.0,General Fund,2020
revenue,Charges for Services,68950229.0,General Fund,2020
revenue,Fines & Forfeits,10316186.0,General Fund,2020
revenue,Miscellaneous,19736371.0,General Fund,2020
revenue,Subtotal Revenues,1225179602.0,General Fund,2020
revenue,Transfers from other funds,40042654.0,General Fund,2020
revenue,TOTAL REVENUES,1265222256.0,General Fund,2020
revenue,TOTAL AVAILABLE FUNDS,1367018309.0,General Fund,2020
appropriation,Administrative & Operational Excellence,84319963.0,General Fund,2020
appropriation,"Convention, Tourism & Culture",3036294.0,General Fund,2020
appropriation,Economic Development & Development Svc,20561544.0,General Fund,2020
appropriation,Environmental 0,3739733.0,General Fund,2020
appropriation,Health & Human Services,103802058.0,General Fund,2020
appropriation,Neighborhood Services,66891675.0,General Fund,2020
appropriation,Parks & Recreation,51638142.0,General Fund,2020
appropriation,Public Safety,820248257.0,General Fund,2020
appropriation,Streets & Infrastructure,111723590.0,General Fund,2020
appropriation,Subtotal Appropriations,1262221523.0,General Fund,2020
appropriation,Transfers to other funds,16206647.0,General Fund,2020
appropriation,TOTAL APPROPRIATIONS,1278428170.0,General Fund,2020
appropriation,Financial Reserves (Incremental Amount),3598574.0,General Fund,2020
appropriation,Reserves for Two-Year Balanced Budget,79696503.0,General Fund,2020
appropriation,Reserve for Year 2 of the FY,2020.0,General Fund,2020
appropriation,Amendments,3294707.0,General Fund,2020
appropriation,Reserve for Impact of Senate Bill 2,2000356.0,General Fund,2020
appropriation,GROSS ENDING FUND BALANCE* $ 0,51491777.0,General Fund,2020
balance,BEGINNING BALANCE,288026655.0,Total All Funds,2020
revenue,Property Tax,613878366.0,Total All Funds,2020
revenue,Delinquent Property Tax,5608210.0,Total All Funds,2020
revenue,Sales Tax,408897040.0,Total All Funds,2020
revenue,Other Tax,129065081.0,Total All Funds,2020
revenue,Licenses and Permits,9244320.0,Total All Funds,2020
revenue,CPS Energy,353708823.0,Total All Funds,2020
revenue,San Antonio Water System,29204702.0,Total All Funds,2020
revenue,Charges for Services,494930479.0,Total All Funds,2020
revenue,Fines & Forfeits,12035785.0,Total All Funds,2020
revenue,Miscellaneous,32702100.0,Total All Funds,2020
revenue,Grants,174219466.0,Total All Funds,2020
revenue,Subtotal Revenues,2279550354.0,Total All Funds,2020
revenue,Transfers from other funds,187343729.0,Total All Funds,2020
revenue,TOTAL REVENUES,2466894082.0,Total All Funds,2020
revenue,TOTAL AVAILABLE FUNDS,2754920737.0,Total All Funds,2020
appropriation,Administrative & Operational Excellence,90227555.0,Total All Funds,2020
appropriation,"Convention, Tourism & Culture",117543716.0,Total All Funds,2020
appropriation,Economic Development,137770856.0,Total All Funds,2020
appropriation,Environmental,126772750.0,Total All Funds,2020
appropriation,Health & Human Services,303327531.0,Total All Funds,2020
appropriation,Neighborhood Services,70597769.0,Total All Funds,2020
appropriation,Parks & Recreation,64974243.0,Total All Funds,2020
appropriation,Public Safety,846777561.0,Total All Funds,2020
appropriation,Streets & Infrastructure,159208389.0,Total All Funds,2020
appropriation,Debt Service,299608361.0,Total All Funds,2020
appropriation,Subtotal Appropriations,2216808731.0,Total All Funds,2020
appropriation,Transfers to other funds,283634262.0,Total All Funds,2020
appropriation,TOTAL APPROPRIATIONS,2500442993.0,Total All Funds,2020
appropriation,GROSS ENDING FUND BALANCE,165887605.0,Total All Funds,2020
balance,BEGINNING BALANCE,138465590.0,General Fund,2021
revenue,Property Tax,397924456.0,General Fund,2021
revenue,Delinquent Property Tax,3832210.0,General Fund,2021
revenue,Sales Tax,295399577.0,General Fund,2021
revenue,Other Tax,28910936.0,General Fund,2021
revenue,Licenses and Permits,8835282.0,General Fund,2021
revenue,CPS Energy,351524046.0,General Fund,2021
revenue,San Antonio Water System,29395216.0,General Fund,2021
revenue,Charges for Services,62228482.0,General Fund,2021
revenue,Fines & Forfeits,8079522.0,General Fund,2021
revenue,Miscellaneous,13594731.0,General Fund,2021
revenue,Subtotal Revenues,1204660367.0,General Fund,2021
revenue,Transfers from other funds,36812385.0,General Fund,2021
revenue,TOTAL REVENUES,1241472752.0,General Fund,2021
revenue,TOTAL AVAILABLE FUNDS,1379938342.0,General Fund,2021
appropriation,Administrative & Operational Excellence,85185560.0,General Fund,2021
appropriation,"Convention, Tourism & Culture",2776311.0,General Fund,2021
appropriation,Economic Development & Development Svc,20571444.0,General Fund,2021
appropriation,Environmental 0,3181280.0,General Fund,2021
appropriation,Health & Human Services,107845060.0,General Fund,2021
appropriation,Neighborhood Services,69198480.0,General Fund,2021
appropriation,Parks & Recreation,50033248.0,General Fund,2021
appropriation,Public Safety,826952886.0,General Fund,2021
appropriation,Streets & Infrastructure,97947253.0,General Fund,2021
appropriation,Subtotal Appropriations,1260510242.0,General Fund,2021
appropriation,Transfers to other funds,26836999.0,General Fund,2021
appropriation,TOTAL APPROPRIATIONS,1287347241.0,General Fund,2021
appropriation,Reserve for COPS Grant,3000000.0,General Fund,2021
appropriation,Reserve for Two-Year Budget Plan,89591101.0,General Fund,2021
appropriation,GROSS ENDING FUND BALANCE* $ 0,39471772.0,General Fund,2021
balance,BEGINNING BALANCE,334092571.0,Total All Funds,2021
revenue,Property Tax,640624293.0,Total All Funds,2021
revenue,Delinquent Property Tax,5608210.0,Total All Funds,2021
revenue,Sales Tax,362839178.0,Total All Funds,2021
revenue,Other Tax,93183014.0,Total All Funds,2021
revenue,Licenses and Permits,8835282.0,Total All Funds,2021
revenue,CPS Energy,351524046.0,Total All Funds,2021
revenue,San Antonio Water System,29395216.0,Total All Funds,2021
revenue,Charges for Services,414765770.0,Total All Funds,2021
revenue,Fines & Forfeits,9360567.0,Total All Funds,2021
revenue,Miscellaneous,25923806.0,Total All Funds,2021
revenue,Grants,278842490.0,Total All Funds,2021
revenue,Subtotal Revenues,2233783972.0,Total All Funds,2021
revenue,Transfers from other funds,161721117.0,Total All Funds,2021
revenue,TOTAL REVENUES,2395505090.0,Total All Funds,2021
revenue,TOTAL AVAILABLE FUNDS,2729597661.0,Total All Funds,2021
appropriation,Administrative & Operational Excellence,91120716.0,Total All Funds,2021
appropriation,"Convention, Tourism & Culture",98306324.0,Total All Funds,2021
appropriation,Economic Development,128909666.0,Total All Funds,2021
appropriation,Environmental,124938044.0,Total All Funds,2021
appropriation,Health & Human Services,404134750.0,Total All Funds,2021
appropriation,Neighborhood Services,72423646.0,Total All Funds,2021
appropriation,Parks & Recreation,62527436.0,Total All Funds,2021
appropriation,Public Safety,857070719.0,Total All Funds,2021
appropriation,Streets & Infrastructure,145038465.0,Total All Funds,2021
appropriation,Debt Service,301908095.0,Total All Funds,2021
appropriation,Subtotal Appropriations,2286377862.0,Total All Funds,2021
appropriation,Transfers to other funds,210686478.0,Total All Funds,2021
appropriation,TOTAL APPROPRIATIONS,2497064340.0,Total All Funds,2021
appropriation,GROSS ENDING FUND BALANCE,142942219.0,Total All Funds,2021
balance,BEGINNING BALANCE,154060841.0,General Fund,2022
revenue,Property Tax,410350992.0,General Fund,2022
revenue,Delinquent Property Tax,1561488.0,General Fund,2022
revenue,Sales Tax,336556846.0,General Fund,2022
revenue,Other Tax,30240331.0,General Fund,2022
revenue,Licenses and Permits,9109942.0,General Fund,2022
revenue,CPS Energy,361234586.0,General Fund,2022
revenue,San Antonio Water System,30795247.0,General Fund,2022
revenue,Charges for Services,54595407.0,General Fund,2022
revenue,Fines and Forfeits,8305887.0,General Fund,2022
revenue,Miscellaneous,14062462.0,General Fund,2022
revenue,Subtotal Revenues,1262473104.0,General Fund,2022
revenue,Transfer from ARPA,30000000.0,General Fund,2022
revenue,Transfers from Other Funds,38461590.0,General Fund,2022
revenue,TOTAL REVENUES,1330934694.0,General Fund,2022
revenue,TOTAL AVAILABLE FUNDS,1484995535.0,General Fund,2022
appropriation,Administrative & Operational Excellence,94369040.0,General Fund,2022
appropriation,"Convention, Tourism & Culture",2678556.0,General Fund,2022
appropriation,Economic Development,23799088.0,General Fund,2022
appropriation,Environmental 0,3148788.0,General Fund,2022
appropriation,Health and Human Services,121581412.0,General Fund,2022
appropriation,Neighborhood Services,77398476.0,General Fund,2022
appropriation,Parks and Recreation,53840397.0,General Fund,2022
appropriation,Public Safety,859843170.0,General Fund,2022
appropriation,Streets and Infrastructure,97286786.0,General Fund,2022
appropriation,Subtotal Appropriations,1330796925.0,General Fund,2022
appropriation,Transfers to other funds,26720133.0,General Fund,2022
appropriation,TOTAL APPROPRIATIONS,1357517058.0,General Fund,2022
appropriation,Financial Reserves (Incremental Amount),3374015.0,General Fund,2022
appropriation,Reserve for COPS Grant,2600000.0,General Fund,2022
appropriation,Reserve for Health Strategic Plan Implementation,2000000.0,General Fund,2022
appropriation,Reserve for Two-Year Budget Plan,119504462.0,General Fund,2022
appropriation,GROSS ENDING FUND BALANCE* $ 0,55689977.0,General Fund,2022
balance,BEGINNING BALANCE,389849710.0,Total All Funds,2022
revenue,Property Tax,660629951.0,Total All Funds,2022
revenue,Delinquent Property Tax,3337488.0,Total All Funds,2022
revenue,Sales Tax,436251815.0,Total All Funds,2022
revenue,Other Tax,103817678.0,Total All Funds,2022
revenue,Licenses and Permits,9109942.0,Total All Funds,2022
revenue,CPS Energy,361234586.0,Total All Funds,2022
revenue,San Antonio Water System,30795247.0,Total All Funds,2022
revenue,Charges for Services,479416564.0,Total All Funds,2022
revenue,Fines and Forfeits,9376649.0,Total All Funds,2022
revenue,Miscellaneous,18779968.0,Total All Funds,2022
revenue,Grants,378497340.0,Total All Funds,2022
revenue,Subtotal Revenues,2504632218.0,Total All Funds,2022
revenue,Transfer from ARPA,65603945.0,Total All Funds,2022
revenue,Transfers from Other Funds,196760241.0,Total All Funds,2022
revenue,TOTAL REVENUES,2766996405.0,Total All Funds,2022
revenue,TOTAL AVAILABLE FUNDS,3156846115.0,Total All Funds,2022
appropriation,Administrative & Operational Excellence,94610723.0,Total All Funds,2022
appropriation,"Convention, Tourism & Culture",113993187.0,Total All Funds,2022
appropriation,Economic Development,196343337.0,Total All Funds,2022
appropriation,Environmental,128955355.0,Total All Funds,2022
appropriation,Health and Human Services,362272977.0,Total All Funds,2022
appropriation,Neighborhood Services,160811750.0,Total All Funds,2022
appropriation,Parks and Recreation,66934129.0,Total All Funds,2022
appropriation,Public Safety,881625624.0,Total All Funds,2022
appropriation,Streets and Infrastructure,152332376.0,Total All Funds,2022
appropriation,Debt Service,316237355.0,Total All Funds,2022
appropriation,Subtotal Appropriations,2474116813.0,Total All Funds,2022
appropriation,Transfers to other funds,374268657.0,Total All Funds,2022
appropriation,TOTAL APPROPRIATIONS,2848385470.0,Total All Funds,2022
appropriation,GROSS ENDING FUND BALANCE,180982168.0,Total All Funds,2022
balance,BEGINNING BALANCE,221840081.0,General Fund,2023
revenue,Property Tax,434832046.0,General Fund,2023
revenue,Delinquent Property Tax,3962000.0,General Fund,2023
revenue,Sales Tax,387472520.0,General Fund,2023
revenue,Other Tax,30635459.0,General Fund,2023
revenue,Licenses and Permits,9713776.0,General Fund,2023
revenue,CPS Energy,391778870.0,General Fund,2023
revenue,San Antonio Water System,31440353.0,General Fund,2023
revenue,Charges for Services,66623115.0,General Fund,2023
revenue,Fines and Forfeits,6267665.0,General Fund,2023
revenue,Miscellaneous,23039766.0,General Fund,2023
revenue,Subtotal Revenues,1391937883.0,General Fund,2023
revenue,Transfer from ARPA,16500000.0,General Fund,2023
revenue,Transfers from Other Funds,43740850.0,General Fund,2023
revenue,TOTAL REVENUES,1452178733.0,General Fund,2023
revenue,TOTAL AVAILABLE FUNDS,1674018814.0,General Fund,2023
appropriation,Administrative & Operational Excellence,106491163.0,General Fund,2023
appropriation,"Convention, Tourism & Culture",3084923.0,General Fund,2023
appropriation,Economic Development & Development Svcs,21337004.0,General Fund,2023
appropriation,Environmental 0,15695228.0,General Fund,2023
appropriation,Health and Human Services,141457004.0,General Fund,2023
appropriation,Neighborhood Services,85869368.0,General Fund,2023
appropriation,Parks and Recreation,61884356.0,General Fund,2023
appropriation,Public Safety,904719267.0,General Fund,2023
appropriation,Streets and Infrastructure,115090293.0,General Fund,2023
appropriation,Subtotal Appropriations,1439933378.0,General Fund,2023
appropriation,Transfers to other funds,70841324.0,General Fund,2023
appropriation,TOTAL APPROPRIATIONS,1510774702.0,General Fund,2023
appropriation,Financial Reserves (Incremental Amount),13474404.0,General Fund,2023
appropriation,Reserve for COPS Grant,3000000.0,General Fund,2023
appropriation,Reserve for Metro Health SA Forward,1211437.0,General Fund,2023
appropriation,Reserve for Two-Year Budget Plan,145558271.0,General Fund,2023
appropriation,GROSS ENDING FUND BALANCE* $ 0,90997761.0,General Fund,2023
balance,BEGINNING BALANCE,484630379.0,Total All Funds,2023
revenue,Property Tax,713426991.0,Total All Funds,2023
revenue,Delinquent Property Tax,6500000.0,Total All Funds,2023
revenue,Sales Tax,505412667.0,Total All Funds,2023
revenue,Other Tax,134026519.0,Total All Funds,2023
revenue,Licenses and Permits,9713776.0,Total All Funds,2023
revenue,CPS Energy,391778870.0,Total All Funds,2023
revenue,San Antonio Water System,31440353.0,Total All Funds,2023
revenue,Charges for Services,527469409.0,Total All Funds,2023
revenue,Fines and Forfeits,7374956.0,Total All Funds,2023
revenue,Miscellaneous,33057088.0,Total All Funds,2023
revenue,Grants,410786343.0,Total All Funds,2023
revenue,Subtotal Revenues,2783619941.0,Total All Funds,2023
