fund,fund_raw,line_item,adopted_amount,fiscal_year,is_total_row
Enterprise Funds,Enterprise Funds,Customer Facility Charge,10479671.0,2016,False
Enterprise Funds,Enterprise Funds,Passenger Facility Charge,16659554.0,2016,False
Enterprise Funds,Enterprise Funds,Development Services,30552652.0,2016,False
Enterprise Funds,Enterprise Funds,Market Square,2789975.0,2016,False
Enterprise Funds,Enterprise Funds,Parking,10234829.0,2016,False
Enterprise Funds,Enterprise Funds,Solid Waste Operating & Maintenance,100750956.0,2016,False
Enterprise Funds,Enterprise Funds,TOTAL ENTERPRISE FUNDS,264583188.0,2016,True
Trust Funds,Trust Funds,City Cemetery,225000.0,2016,False
Trust Funds,Trust Funds,TOTAL TRUST FUNDS,225000.0,2016,True
Internal Service Funds,Internal Service Funds,Capital Improvements Management Services,18286552.0,2016,False
Internal Service Funds,Internal Service Funds,Equipment Renewal & Replacement,43083996.0,2016,False
Internal Service Funds,Internal Service Funds,Facility Services,14530103.0,2016,False
Internal Service Funds,Internal Service Funds,Fleet Services,41745722.0,2016,False
Internal Service Funds,Internal Service Funds,Information Technology Services,53942335.0,2016,False
Internal Service Funds,Internal Service Funds,Purchasing & General Services,5487464.0,2016,False
Internal Service Funds,Internal Service Funds,Self Insurance,177052405.0,2016,False
Internal Service Funds,Internal Service Funds,TOTAL INTERNAL SERVICE FUNDS,354128577.0,2016,True
Internal Service Funds,Internal Service Funds,Grants,141629517.0,2016,False
Internal Service Funds,Internal Service Funds,Debt Services,257673413.0,2016,False
General Fund,GENERAL FUND,Current Property Tax,317504778.0,2017,False
General Fund,GENERAL FUND,City Sales Tax,275848790.0,2017,False
General Fund,GENERAL FUND,CPS Energy,342747851.0,2017,False
General Fund,GENERAL FUND,Business and Franchise Tax,31554998.0,2017,False
General Fund,GENERAL FUND,Liquor by the Drink Tax,8323000.0,2017,False
General Fund,GENERAL FUND,Delinquent Property Tax,2741105.0,2017,False
General Fund,GENERAL FUND,Penalty and Interest on Delinquent Taxes,2130696.0,2017,False
General Fund,GENERAL FUND,Licenses and Permits,8809947.0,2017,False
General Fund,GENERAL FUND,San Antonio Water System,14374768.0,2017,False
General Fund,GENERAL FUND,Other Agencies,7648342.0,2017,False
General Fund,GENERAL FUND,General Government,4044326.0,2017,False
General Fund,GENERAL FUND,Public Safety,40620856.0,2017,False
General Fund,GENERAL FUND,Highways/Streets/Sanitation,975470.0,2017,False
General Fund,GENERAL FUND,Health,3043812.0,2017,False
General Fund,GENERAL FUND,Recreation and Culture,11941394.0,2017,False
General Fund,GENERAL FUND,Fines,12402492.0,2017,False
General Fund,GENERAL FUND,Sale of Property,3400533.0,2017,False
General Fund,GENERAL FUND,Use of Money and Property,2121084.0,2017,False
General Fund,GENERAL FUND,Interest on Time Deposits,1465821.0,2017,False
General Fund,GENERAL FUND,Recovery of Expenditures,2273853.0,2017,False
General Fund,GENERAL FUND,Miscellaneous,427238.0,2017,False
General Fund,GENERAL FUND,Interfund Charges,1850000.0,2017,False
General Fund,GENERAL FUND,Transfers,39039262.0,2017,False
General Fund,GENERAL FUND,TOTAL GENERAL FUND,1135290416.0,2017,True
Special Revenue Funds,SPECIAL REVENUE FUNDS,Advanced Transportation District,16500548.0,2017,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Arts & Culture,10274432.0,2017,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Child Safety,2279363.0,2017,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Community & Visitor Facilities,44803966.0,2017,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Confiscated Property,1483359.0,2017,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Convention and Visitors Bureau,22845375.0,2017,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Convention Center Lease Payment Fund,24238477.0,2017,False
