fund,fund_raw,line_item,adopted_amount,fiscal_year,is_total_row
General Fund,GENERAL FUND,Delinquent Property Tax,1721210.0,2020,False
General Fund,GENERAL FUND,Penalty and Interest on Delinquent Taxes,2111000.0,2020,False
General Fund,GENERAL FUND,Licenses and Permits,9244320.0,2020,False
General Fund,GENERAL FUND,San Antonio Water System,29204702.0,2020,False
General Fund,GENERAL FUND,Other Agencies,5404718.0,2020,False
General Fund,GENERAL FUND,General Government,4101543.0,2020,False
General Fund,GENERAL FUND,Public Safety,43470769.0,2020,False
General Fund,GENERAL FUND,Highways/Streets/Sanitation,1111685.0,2020,False
General Fund,GENERAL FUND,Health,3211813.0,2020,False
General Fund,GENERAL FUND,Recreation and Culture,17054419.0,2020,False
General Fund,GENERAL FUND,Fines,10316186.0,2020,False
General Fund,GENERAL FUND,Sale of Property,4447232.0,2020,False
General Fund,GENERAL FUND,Use of Money and Property,2466676.0,2020,False
General Fund,GENERAL FUND,Interest on Time Deposits,7177415.0,2020,False
General Fund,GENERAL FUND,Recovery of Expenditures,3099263.0,2020,False
General Fund,GENERAL FUND,Miscellaneous,695785.0,2020,False
General Fund,GENERAL FUND,Interfund Charges,1850000.0,2020,False
